Austria,EU
Belgium,EU
Bulgaria,EU
Croatia,EU
Cyprus,EU
Czech Republic,EU
Denmark,EU
Estonia,EU
Finland,EU
France,EU
Germany,EU
Greece,EU
Hungary,EU
Ireland,EU
Italy,EU
Latvia,EU
Lithuania,EU
Luxembourg,EU
Malta,EU
Netherlands,EU
Poland,EU
Portugal,EU
Slovak Republic,EU
Slovenia,EU
Spain,EU
Sweden,EU
Norway,EU
Island,EU
United Kingdom,EU
Russian Federation,NE
United States,NE
Australia,NE
Switzerland,NE
Serbia,NE
Ukraina,NE
New Zealand,NE
Turkey,NE
Canada,NE
China,NE
Japan,NE
